#project_accession: PXD005736
#project_title: Proteomic Analysis of Human Cardiac Organoids
#project_description: The mammalian heart undergoes major transitions during postnatal life to acquire the physiological properties of an adult organ. Postnatal life imposes numerous adaptations including electrophysiological, structural and metabolic maturation of cardiomyocytes1, which occur coincident with loss of proliferative capacity and regenerative potential2,3. The discovery of key upstream drivers of cardiomyocyte maturation and cell cycle arrest remains one of the most important unanswered questions in cardiac biology. Discovery of these drivers would facilitate current attempts to promote cardiomyocyte maturation in vitro for drug discovery and to de-differentiate adult cardiomyocytes in vivo for regenerative medicine.   A recent study has suggested that the shift from a low oxygen environment in utero towards a high oxygen environment after birth acts as a key trigger for cardiomyocyte cell cycle exit4. Moreover, it was recently demonstrated that proliferative adult cardiomyocytes reside in a hypoxic niche5 and that exposure of adult mice to gradual hypoxemia is sufficient to drive cell cycle re-entry and regeneration following infarction6. However, it is currently unclear whether postnatal changes in oxygen tension or the associated shifts in cardiomyocyte metabolism are sufficient to promote maturation and cell cycle arrest as human pluripotent stem cell (hPSC)-derived cardiomyocytes fail to mature when cultured at 21% oxygen7,8.   There are considerable changes in metabolic substrate provision during early postnatal life. The mammalian heart relies on high concentrations of carbohydrates and the presence of insulin in utero but later switches to fatty acid dominated substrates present in milk and low insulin levels post-birth9. In order to adapt to these changes in substrates, cardiomyocytes upregulate the genes required for fatty acid oxidation after birth10. The importance of these metabolic adaptations for cardiomyocyte maturation has been difficult to study because genetic disruption of fatty acid oxidation components in vivo can have a broad range of negative health impacts11. Therefore, there is a need to develop alternative approaches for studying the impact of cardiomyocyte metabolism on the maturation process.   hPSCs are now widely used for the generation of defined human somatic cell types, including cardiomyocytes. These cardiomyocytes have now been used extensively for developmental studies, drug screening, disease modeling, and heart repair. However, lack of maturity and inappropriate responses to pharmacological agents have been identified as limitations in 2D or embryoid body based differentiation strategies12. To improve maturity of hPSC-derived cardiomyocytes, long-term culture can be used13, although long-term cultures may not be amenable to high-throughput screening applications and adult-like maturity is still not achieved14. In an effort to better simulate heart muscle structure and function, cardiac tissue engineering to form 3D engineered heart tissue has been used15-19. However, despite these recent advances in human cardiac tissue engineering, cardiac tissues derived from hPSC still lack many features of fully mature adult heart tissue20. Moreover, engineered heart tissue fabrication, culture, mechanical loading and pacing protocols, and analysis methods using organ baths are costly, labor intensive, and the multiple handling steps induce variability.  In order to facilitate higher-throughput experiments, platforms for engineered heart tissue production have been miniaturized, however, screening experiments using semi-automated force of contraction analyses have only been published in 24-well plate formats21. Therefore, we developed a novel 96-well device, the heart dynamometer (Heart-Dyno), for high-throughput functional screening of human cardiac organoids (hCOs) to facilitate screening on a larger scale. The Heart-Dyno is designed to facilitate automated formation of dense muscle bundles from minimal cells and reagents while also facilitating culture and automated force of contraction analysis without any tissue handling.    Using the Heart-Dyno, we define serum-free 3D culture conditions that promote structural, electrophysiological, metabolic and proliferative maturation of hPSC-derived cardiac organoids. Furthermore, we uncover a metabolic mechanism governing cardiomyocyte cell cycle arrest through repression of a β-catenin and YAP1 dependent signalling.
#quantms_version: 1.1
#factor_value: organism part
#INFO=<ID=protein, Number=inf, Type=String, Description="Protein Accession">
#INFO=<ID=sample_accession, Number=1, Type=String, Description="Sample Accession in the SDRF">
#INFO=<ID=condition, Number=1, Type=String, Description="Value of the factor value">
#INFO=<ID=ibaq, Number=1, Type=Float, Description="Intensity based absolute quantification">
#INFO=<ID=ribaq, Number=1, Type=Float, Description="relative iBAQ">
protein	sample_accession	condition	ibaq	ribaq
P63261	PXD005736-Sample-1	heart	161880474387.725	8.63738511649957
P84243	PXD005736-Sample-1	heart	136183629418.6125	8.562315552429036
P68032	PXD005736-Sample-1	heart	87058740399.24251	8.368003027406424
P12883	PXD005736-Sample-1	heart	77756524482.24901	8.318927488585834
P04406	PXD005736-Sample-1	heart	72713800605.74706	8.289807493032239
P10916	PXD005736-Sample-1	heart	63028299821.0	8.227726240340912
P12829	PXD005736-Sample-1	heart	51993430289.57692	8.144139119235742
P62805	PXD005736-Sample-1	heart	51700823123.41666	8.141688105592426
P08590	PXD005736-Sample-1	heart	43900910589.55384	8.070664176526947
P04792	PXD005736-Sample-1	heart	41873713791.291664	8.050132128383733
P45379	PXD005736-Sample-1	heart	40869788981.4125	8.039593043457634
P09493	PXD005736-Sample-1	heart	40535500440.075	8.036026187152185
P06576	PXD005736-Sample-1	heart	37730440885.79311	8.004882528112283
P00558	PXD005736-Sample-1	heart	34698294171.46	7.968498772729236
P10412	PXD005736-Sample-1	heart	32356064223.9	7.938146336867149
P68104	PXD005736-Sample-1	heart	32050726329.96316	7.934028523985424
P16401	PXD005736-Sample-1	heart	29849292198.8	7.903124685467896
P52943	PXD005736-Sample-1	heart	26206134843.08333	7.84659361942948
CONTAMINANT_P15636	PXD005736-Sample-1	heart	25373066254.545456	7.832563601589529
P02144	PXD005736-Sample-1	heart	24417322921.5	7.815888694912447
P25705	PXD005736-Sample-1	heart	24253132213.43548	7.812958482371675
Q71U36	PXD005736-Sample-1	heart	23313453932.04762	7.795797267917774
CONTAMINANT_P00761	PXD005736-Sample-1	heart	23186511685.416668	7.793426063833845
CONTAMINANT_P12763	PXD005736-Sample-1	heart	23173837535.07143	7.793188606015368
P19237	PXD005736-Sample-1	heart	22448299824.9375	7.779374102351722
P05413	PXD005736-Sample-1	heart	21897008849.6	7.768575441975042
P02452	PXD005736-Sample-1	heart	21433532764.312145	7.75928440725679
P06733	PXD005736-Sample-1	heart	21411091755.56818	7.758829460702056
P14618	PXD005736-Sample-1	heart	20898495636.43333	7.74830567293845
P60174	PXD005736-Sample-1	heart	20378493770.125	7.737362729057082
P48735	PXD005736-Sample-1	heart	20011380529.08696	7.729467698515736
P61604	PXD005736-Sample-1	heart	19878215783.625	7.726568048766238
P12235	PXD005736-Sample-1	heart	19683224446.875	7.722286892830838
P35609	PXD005736-Sample-1	heart	18517892879.49091	7.695782215590256
P00338	PXD005736-Sample-1	heart	17781392617.166668	7.678156419471096
P18669	PXD005736-Sample-1	heart	17262814807.73077	7.66530225961581
P07195	PXD005736-Sample-1	heart	17241074740.558823	7.664754982622869
P40926	PXD005736-Sample-1	heart	17017110587.1	7.659076469251616
P04075	PXD005736-Sample-1	heart	16572573493.34091	7.6475806017183
P07305	PXD005736-Sample-1	heart	15029134551.0	7.605124620652757
P08670	PXD005736-Sample-1	heart	14059322767.90625	7.576155049478103
Q13885	PXD005736-Sample-1	heart	13824853155.868422	7.568851175120155
P07737	PXD005736-Sample-1	heart	13739242948.577778	7.566153451238231
P09429	PXD005736-Sample-1	heart	13692969252.8125	7.564688281047685
P22626	PXD005736-Sample-1	heart	13243827599.605265	7.550204166811756
P62937	PXD005736-Sample-1	heart	13121960146.4	7.546189362484155
Q02539	PXD005736-Sample-1	heart	12986309003.125	7.541676380579215
P07900	PXD005736-Sample-1	heart	12612973984.845589	7.529008148055513
P30049	PXD005736-Sample-1	heart	12562054129.166666	7.527251308508216
