#project_accession: PXD004452
#project_title: HeLa proteome of 12,250 protein-coding genes
#project_description: We developed an optimized multi-shot proteomics workflow based on high-resolution offline high pH reversed-phase peptide separation of high peptide loads collecting many fractions that were in turn analyzed by short online chromatographic separations and fast peptide sequencing using orbitrap tandem mass spectrometry.
#quantms_version: 1.1
#factor_value: organism part
#INFO=<ID=protein, Number=inf, Type=String, Description="Protein Accession">
#INFO=<ID=sample_accession, Number=1, Type=String, Description="Sample Accession in the SDRF">
#INFO=<ID=condition, Number=1, Type=String, Description="Value of the factor value">
#INFO=<ID=ibaq, Number=1, Type=Float, Description="Intensity based absolute quantification">
#INFO=<ID=ribaq, Number=1, Type=Float, Description="relative iBAQ">
protein	sample_accession	condition	ibaq	ribaq
P62805	PXD004452-Sample-1	colon	161684599273.83334	8.707674651413617
P68431	PXD004452-Sample-1	colon	155112040059.5833	8.689651506602846
P68871	PXD004452-Sample-1	colon	154281160832.57574	8.687318894704122
Q99879	PXD004452-Sample-1	colon	148533371816.64285	8.670830036773477
P69905	PXD004452-Sample-1	colon	145284077220.03125	8.661224016098469
P62736	PXD004452-Sample-1	colon	95538617432.66666	8.479184948996764
P62328	PXD004452-Sample-1	colon	60956943912.5	8.284029182250965
CONTAMINANT_P15636	PXD004452-Sample-1	colon	54266826523.5644	8.23354042196821
P07148	PXD004452-Sample-1	colon	51023171258.91666	8.206773444758362
P62937	PXD004452-Sample-1	colon	46636638975.7	8.16773324081099
P60709	PXD004452-Sample-1	colon	44160164329.60417	8.144036677635336
P56470	PXD004452-Sample-1	colon	38441767767.11539	8.083809347547495
Q02539	PXD004452-Sample-1	colon	37446662633.1875	8.072419114848142
P07355	PXD004452-Sample-1	colon	37353976604.23106	8.071342839245766
P08670	PXD004452-Sample-1	colon	33761893559.64844	8.027432793156176
Q5TEC6	PXD004452-Sample-1	colon	28638147042.333336	7.955950911443788
CONTAMINANT_P08727	PXD004452-Sample-1	colon	27224509782.64247	7.933966065193724
P16402	PXD004452-Sample-1	colon	25779946129.895832	7.910288002317731
P04406	PXD004452-Sample-1	colon	25593969645.088238	7.907143647338401
O95994	PXD004452-Sample-1	colon	24181936744.18519	7.882497077600621
CONTAMINANT_Q3SX28	PXD004452-Sample-1	colon	23121823025.895832	7.8630280695860755
P23528	PXD004452-Sample-1	colon	22091217667.05833	7.84322565163283
P01834	PXD004452-Sample-1	colon	21987072118.233334	7.8411733977202625
P17931	PXD004452-Sample-1	colon	21802629685.33333	7.837514875225649
P60660	PXD004452-Sample-1	colon	21469541257.041664	7.830828761705725
P07737	PXD004452-Sample-1	colon	19875395195.7037	7.797321769587121
P06703	PXD004452-Sample-1	colon	19727637822.85	7.794081082975335
P52565	PXD004452-Sample-1	colon	19089150741.95833	7.779792604284403
P05387	PXD004452-Sample-1	colon	18021416702.166668	7.75479492561117
P63104	PXD004452-Sample-1	colon	17218825240.970238	7.735009515076019
P63313	PXD004452-Sample-1	colon	15812812537.5	7.6980151191665955
P07108	PXD004452-Sample-1	colon	15414461396.041666	7.686934351246208
P68363	PXD004452-Sample-1	colon	15300935722.126986	7.683723987528214
P04080	PXD004452-Sample-1	colon	15147319784.25	7.679341790972687
P32119	PXD004452-Sample-1	colon	14779174296.954546	7.66865616778745
P05783	PXD004452-Sample-1	colon	14686269814.166666	7.665917499551376
P60903	PXD004452-Sample-1	colon	14060638736.3125	7.647011046747608
P12277	PXD004452-Sample-1	colon	14002149093.083334	7.64520069445904
P06576	PXD004452-Sample-1	colon	13729962968.821838	7.636675362706367
P0DOX5	PXD004452-Sample-1	colon	13653126292.21591	7.634238104300653
P06733	PXD004452-Sample-1	colon	13511905259.511364	7.629722588267827
Q16762	PXD004452-Sample-1	colon	13386657758.641026	7.6256781572269
O60844	PXD004452-Sample-1	colon	13264955118.944445	7.621711781722264
Q9P1F3	PXD004452-Sample-1	colon	13167887352.055552	7.618522099411368
P60174	PXD004452-Sample-1	colon	12346485097.359377	7.590549333342487
P42766	PXD004452-Sample-1	colon	12231077029.395834	7.586470698105332
P19012	PXD004452-Sample-1	colon	12129164183.794443	7.582836871632662
P04083	PXD004452-Sample-1	colon	11670000185.061403	7.566076859739043
P62258	PXD004452-Sample-1	colon	11664647914.59804	7.56587763140196
P62263	PXD004452-Sample-1	colon	11454877733.0	7.557996454787204
P09211	PXD004452-Sample-1	colon	11234239624.941666	7.549549679893187
P68371	PXD004452-Sample-1	colon	10864397880.385963	7.535011658943031
P50238	PXD004452-Sample-1	colon	10655313377.25	7.526572223828193
P02545	PXD004452-Sample-1	colon	10590824246.995934	7.52393575785771
P25705	PXD004452-Sample-1	colon	10040442982.4543	7.500758871029175
P17661	PXD004452-Sample-1	colon	9659269773.38172	7.483950292437711
CONTAMINANT_P00761	PXD004452-Sample-1	colon	9402962362.9375	7.472270694576251
